Monday,11:00AM - 12:30PM - Advanced Jiu-Jitsu,Thursday,4:30PM - 5:15PM -Jiu-Jitsu Games (age 4-7 yrs)
,6:00PM - 7:00PM - Fundamental 2 Jiu-Jitsu,,5:15PM - 6:00PM -Juniors Jiu-Jitsu (age 8-15 yrs)
,7:00PM - 8:00PM - Muay Thai,,6:00PM - 6:15PM -Advanced Kids Sparring (coaches approval)
,7:30PM - 9:00PM - Advanced Jiu-Jitsu,,6:00PM - 7:15PM - Advanced No-Gi Jiu-Jitsu (MMA Training Gloves Req)
,,,6:30PM - 7:30PM - Muay Thai (Beginner)
Tuesday,4:30PM - 5:15PM -Jiu-Jitsu Games (age 4-7 yrs),,7:30PM - 8:30PM - Fundamental 1 Jiu-Jitsu
,5:15PM - 6:00PM -Juniors Jiu-Jitsu (age 8-15 yrs),,
,6:00PM - 6:15PM -Advanced Kids Sparring (coaches approval),Friday,11:00AM - 12:00PM - Fundamental 2 Jiu-Jitsu
,6:00PM - 7:15PM - Advanced No-Gi Jiu-Jitsu,,6:30PM - 8:00PM - Advanced Jiu-Jitsu
,6:00PM - 7:15PM - Advanced No-Gi Jiu-Jitsu,,
,6:30PM - 7:30PM - Muay Thai (Beginner),Saturday,9:00AM - 9:45AM -Jiu-Jitsu Games (age 4-7 yrs)
,7:30PM - 8:30PM - Fundamental 1 Jiu-Jitsu,,9:45AM - 10:30AM -Juniors Jiu-Jitsu (age 8-15 yrs)
,,,10:30AM - 11:15AM -Advanced Kids Jiu-Jitsu (coaches approval)
Wednesday,11:00AM - 12:00PM - Fundamental 1 Jiu-Jitsu,,11:00AM - 12:00PM - Fundamental 1 Jiu-Jitsu
,12:15PM - 1:45PM - Advanced No-Gi Jiu-Jitsu,,12:15PM - 1:45PM - Advanced Jiu-Jitsu
,6:00PM - 7:00PM - Fundamental 2 Jiu-Jitsu,,
,7:00PM - 8:00PM - Muay Thai,Sunday,9:00AM - 10:00AM -Youth Open Mat
,7:30PM - 9:00PM - Advanced Jiu-Jitsu,,10:00AM - 11:00AM -Adult Open Mat
,,,
,,,
